-11.99, 0.86458553
-13.00, 0.84036007
-13.98, 0.93075585
-14.98, 0.74615205
-16.02, 0.70466061
-17.02, 0.71759809
-17.99, 0.68077572
-18.98, 0.73770833
-19.99, 0.77483639
-20.96, 0.69314383
-21.96, 0.67723881
-22.99, 0.6319397
-23.99, 0.62956436
-24.95, 0.64296759
-25.98, 0.65567839
-26.97, 0.62211227
-27.98, 0.61012672
-29.00, 0.60253656
-29.99, 0.60745109
-31.00, 0.61720825
-32.02, 0.6300961
-32.99, 0.63462822
-34.05, 0.6405385
-34.90, 0.64091912
-35.96, 0.64091912
-36.93, 0.64502691
-38.00, 0.64399566
-39.02, 0.64203061
-40.06, 0.64661731
-49.05, 0.64938377
