Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

0.88214874,-102.18460000,NaN
0.88691711,-102.06950000,NaN
0.89168549,-101.92380000,NaN
0.89645386,-102.00580000,NaN
0.90122223,-102.26400000,NaN
0.90599060,-101.76730000,NaN
0.91075897,-101.54820000,NaN
0.91552734,-101.54620000,NaN
0.92029572,-101.89690000,NaN
0.92506409,-101.95460000,NaN
0.92983246,-101.88300000,NaN
0.93460083,-102.08430000,NaN
0.93936920,-102.27360000,NaN
0.94413757,-102.02410000,NaN
0.94890594,-101.89940000,NaN
0.95367432,-101.75950000,NaN
0.95844269,-102.08330000,NaN
0.96321106,-102.22270000,NaN
0.96797943,-102.14950000,NaN
0.97274780,-102.23810000,NaN
0.97751617,-101.84080000,NaN
0.98228455,-101.70470000,NaN
0.98705292,-101.97980000,NaN
0.99182129,-101.51030000,NaN
0.99658966,-100.46420000,NaN
1.00135803,-99.97281000,NaN
1.00612640,-100.33560000,NaN
1.01089478,-101.14220000,NaN
1.01566315,-101.71320000,NaN
1.02043152,-101.82890000,NaN
1.02519989,-101.95030000,NaN
1.02996826,-102.00400000,NaN
1.03473663,-102.04720000,NaN
1.03950500,-102.32140000,NaN
1.04427338,-102.16140000,NaN
1.04904175,-101.98470000,NaN
1.05381012,-101.99780000,NaN
1.05857849,-101.95750000,NaN
1.06334686,-101.92510000,NaN
1.06811523,-101.96680000,NaN
1.07288361,-101.80400000,NaN
1.07765198,-102.12540000,NaN
1.08242035,-102.09970000,NaN
1.08718872,-101.90860000,NaN
1.09195709,-101.81800000,NaN
1.09672546,-101.95500000,NaN
1.10149384,-101.81780000,NaN
1.10626221,-102.02590000,NaN
1.11103058,-102.22760000,NaN
1.11579895,-102.19600000,NaN
1.12056732,-102.44250000,NaN
1.12533569,-102.25340000,NaN
1.13010406,-102.08990000,NaN
1.13487244,-102.05460000,NaN
1.13964081,-102.18380000,NaN
1.14440918,-101.99360000,NaN
1.14917755,-102.19050000,NaN
1.15394592,-102.19780000,NaN
1.15871429,-102.15410000,NaN
1.16348267,-102.14420000,NaN
1.16825104,-102.39390000,NaN
1.17301941,-102.31590000,NaN
1.17778778,-102.04560000,NaN
1.18255615,-102.04060000,NaN
1.18732452,-102.05100000,NaN
1.19209290,-102.16170000,NaN
1.19686127,-102.12140000,NaN
1.20162964,-102.05830000,NaN
1.20639801,-101.89550000,NaN
1.21116638,-102.02600000,NaN
1.21593475,-101.99370000,NaN
1.22070313,-102.06560000,NaN
1.22547150,-102.15640000,NaN
1.23023987,-102.17140000,NaN
1.23500824,-102.21860000,NaN
1.23977661,-102.28970000,NaN
1.24454498,-102.12380000,NaN
1.24931335,-102.30310000,NaN
1.25408173,-102.24960000,NaN
1.25885010,-102.10520000,NaN
1.26361847,-102.03630000,NaN
1.26838684,-102.17150000,NaN
1.27315521,-102.18780000,NaN
1.27792358,-102.20240000,NaN
1.28269196,-102.16070000,NaN
1.28746033,-102.28500000,NaN
1.29222870,-102.12150000,NaN
1.29699707,-102.29690000,NaN
1.30176544,-102.26500000,NaN
1.30653381,-102.04480000,NaN
1.31130219,-102.13680000,NaN
1.31607056,-102.27310000,NaN
1.32083893,-102.28150000,NaN
1.32560730,-102.26010000,NaN
1.33037567,-102.01650000,NaN
1.33514404,-102.20240000,NaN
1.33991241,-102.22810000,NaN
1.34468079,-102.10970000,NaN
1.34944916,-102.10480000,NaN
1.35421753,-102.24540000,NaN
1.35898590,-102.21890000,NaN
1.36375427,-101.97680000,NaN
1.36852264,-102.01140000,NaN
1.37329102,-102.10380000,NaN
1.37805939,-102.52620000,NaN
1.38282776,-102.23920000,NaN
1.38759613,-102.30960000,NaN
1.39236450,-102.23460000,NaN
1.39713287,-101.90830000,NaN
1.40190125,-102.15300000,NaN
1.40666962,-102.12330000,NaN
1.41143799,-102.28430000,NaN
1.41620636,-102.16580000,NaN
1.42097473,-102.19500000,NaN
1.42574310,-102.19270000,NaN
1.43051147,-102.08180000,NaN
1.43527985,-101.97100000,NaN
1.44004822,-102.00080000,NaN
1.44481659,-102.22270000,NaN
1.44958496,-102.09350000,NaN
1.45435333,-101.84970000,NaN
1.45912170,-101.91690000,NaN
1.46389008,-101.91180000,NaN
1.46865845,-102.14550000,NaN
1.47342682,-102.20820000,NaN
1.47819519,-102.04810000,NaN
1.48296356,-102.37580000,NaN
1.48773193,-101.97220000,NaN
1.49250031,-102.12890000,NaN
1.49726868,-102.29880000,NaN
1.50203705,-102.18210000,NaN
1.50680542,-102.19810000,NaN
1.51157379,-101.94720000,NaN
1.51634216,-102.06450000,NaN
1.52111053,-102.32730000,NaN
1.52587891,-102.12980000,NaN
1.53064728,-102.15760000,NaN
1.53541565,-102.34820000,NaN
1.54018402,-102.21750000,NaN
1.54495239,-102.03850000,NaN
1.54972076,-102.00310000,NaN
1.55448914,-102.08890000,NaN
1.55925751,-102.18220000,NaN
1.56402588,-102.20070000,NaN
1.56879425,-102.15270000,NaN
1.57356262,-102.39900000,NaN
1.57833099,-102.41290000,NaN
1.58309937,-101.94220000,NaN
1.58786774,-102.00200000,NaN
1.59263611,-101.83400000,NaN
1.59740448,-102.04300000,NaN
1.60217285,-102.05420000,NaN
1.60694122,-102.28090000,NaN
1.61170959,-102.25390000,NaN
1.61647797,-101.76610000,NaN
1.62124634,-100.52900000,NaN
1.62601471,-101.19850000,NaN
1.63078308,-102.08740000,NaN
1.63555145,-102.31360000,NaN
1.64031982,-102.21580000,NaN
1.64508820,-102.21060000,NaN
1.64985657,-102.33150000,NaN
1.65462494,-102.16990000,NaN
1.65939331,-102.12830000,NaN
1.66416168,-102.14930000,NaN
1.66893005,-102.00740000,NaN
1.67369843,-102.07570000,NaN
1.67846680,-102.19700000,NaN
1.68323517,-102.18930000,NaN
1.68800354,-102.16860000,NaN
1.69277191,-102.03830000,NaN
1.69754028,-102.28580000,NaN
1.70230865,-102.40960000,NaN
1.70707703,-102.47150000,NaN
1.71184540,-102.42510000,NaN
1.71661377,-102.18370000,NaN
1.72138214,-101.98090000,NaN
1.72615051,-101.98450000,NaN
1.73091888,-102.10070000,NaN
1.73568726,-102.04560000,NaN
1.74045563,-101.83260000,NaN
1.74522400,-102.09800000,NaN
1.74999237,-102.02060000,NaN
1.75476074,-102.04890000,NaN
1.75952911,-102.31970000,NaN
1.76429749,-102.29970000,NaN
1.76906586,-102.19410000,NaN
1.77383423,-101.99950000,NaN
1.77860260,-102.00530000,NaN
1.78337097,-102.08090000,NaN
1.78813934,-102.25830000,NaN
1.79290771,-102.38340000,NaN
1.79767609,-102.27780000,NaN
1.80244446,-102.21660000,NaN
1.80721283,-101.91970000,NaN
1.81198120,-101.86080000,NaN
1.81674957,-102.17240000,NaN
1.82151794,-101.97640000,NaN
1.82628632,-101.90370000,NaN
1.83105469,-102.08890000,NaN
1.83582306,-102.34850000,NaN
1.84059143,-102.29800000,NaN
1.84535980,-102.48710000,NaN
1.85012817,-102.40570000,NaN
1.85489655,-102.33020000,NaN
1.85966492,-102.17710000,NaN
1.86443329,-102.16430000,NaN
1.86920166,-101.97310000,NaN
1.87397003,-102.11400000,NaN
1.87873840,-102.19770000,NaN
1.88350677,-102.12200000,NaN
1.88827515,-102.19140000,NaN
1.89304352,-102.18260000,NaN
1.89781189,-101.90520000,NaN
1.90258026,-101.55890000,NaN
1.90734863,-101.62590000,NaN
1.91211700,-102.15490000,NaN
1.91688538,-102.07480000,NaN
1.92165375,-101.97900000,NaN
1.92642212,-102.01340000,NaN
1.93119049,-101.99910000,NaN
1.93595886,-102.09370000,NaN
1.94072723,-102.17400000,NaN
1.94549561,-102.15780000,NaN
1.95026398,-102.03710000,NaN
1.95503235,-102.10910000,NaN
1.95980072,-102.38920000,NaN
1.96456909,-102.11790000,NaN
1.96933746,-102.04280000,NaN
1.97410583,-102.05770000,NaN
1.97887421,-102.08790000,NaN
1.98364258,-102.24350000,NaN
1.98841095,-102.11150000,NaN
1.99317932,-102.28200000,NaN
1.99794769,-102.00560000,NaN
2.00271606,-102.12450000,NaN
2.00748444,-102.06340000,NaN
2.01225281,-101.75040000,NaN
2.01702118,-101.65770000,NaN
2.02178955,-101.62430000,NaN
2.02655792,-101.80310000,NaN
2.03132629,-101.84400000,NaN
2.03609467,-101.94970000,NaN
2.04086304,-102.15750000,NaN
2.04563141,-102.02070000,NaN
2.05039978,-102.32340000,NaN
2.05516815,-102.18040000,NaN
2.05993652,-102.13100000,NaN
2.06470490,-102.04880000,NaN
2.06947327,-102.21750000,NaN
2.07424164,-102.09260000,NaN
2.07901001,-101.89680000,NaN
2.08377838,-101.98910000,NaN
2.08854675,-101.83400000,NaN
2.09331512,-102.02240000,NaN
2.09808350,-102.16520000,NaN
2.10285187,-102.09010000,NaN
2.10762024,-102.11740000,NaN
2.11238861,-102.18490000,NaN
2.11715698,-101.95160000,NaN
2.12192535,-102.10680000,NaN
2.12669373,-101.88350000,NaN
2.13146210,-101.96430000,NaN
2.13623047,-102.03140000,NaN
2.14099884,-101.88320000,NaN
2.14576721,-102.02530000,NaN
2.15053558,-102.29850000,NaN
2.15530396,-102.18410000,NaN
2.16007233,-102.18390000,NaN
2.16484070,-102.20460000,NaN
2.16960907,-102.07670000,NaN
2.17437744,-101.93250000,NaN
2.17914581,-102.08640000,NaN
2.18391418,-102.01530000,NaN
2.18868256,-101.87890000,NaN
2.19345093,-102.05380000,NaN
2.19821930,-101.88860000,NaN
2.20298767,-101.74120000,NaN
2.20775604,-101.76510000,NaN
2.21252441,-101.91670000,NaN
2.21729279,-101.76280000,NaN
2.22206116,-102.03250000,NaN
2.22682953,-102.17330000,NaN
2.23159790,-102.25230000,NaN
2.23636627,-101.98310000,NaN
2.24113464,-101.96220000,NaN
2.24590302,-101.89320000,NaN
2.25067139,-101.90240000,NaN
2.25543976,-102.06760000,NaN
2.26020813,-101.86560000,NaN
2.26497650,-102.18230000,NaN
2.26974487,-102.10310000,NaN
2.27451324,-102.01480000,NaN
2.27928162,-102.10600000,NaN
2.28404999,-101.96760000,NaN
2.28881836,-101.94620000,NaN
2.29358673,-101.82140000,NaN
2.29835510,-101.88190000,NaN
2.30312347,-101.96540000,NaN
2.30789185,-101.78950000,NaN
2.31266022,-101.92360000,NaN
2.31742859,-102.12310000,NaN
2.32219696,-101.93940000,NaN
2.32696533,-101.87530000,NaN
2.33173370,-101.87330000,NaN
2.33650208,-101.93900000,NaN
