Frequency,Channel A,"BandPass(A,20e6,40e6)"
(MHz),(dBu),(dBu)

0.88214874,-106.66260000,NaN
0.88691711,-107.61760000,NaN
0.89168549,-107.51020000,NaN
0.89645386,-107.11540000,NaN
0.90122223,-107.03500000,NaN
0.90599060,-106.52310000,NaN
0.91075897,-106.87820000,NaN
0.91552734,-106.66370000,NaN
0.92029572,-107.18010000,NaN
0.92506409,-107.13570000,NaN
0.92983246,-106.90210000,NaN
0.93460083,-107.32850000,NaN
0.93936920,-107.08680000,NaN
0.94413757,-107.61820000,NaN
0.94890594,-107.72590000,NaN
0.95367432,-107.04630000,NaN
0.95844269,-107.14260000,NaN
0.96321106,-107.29460000,NaN
0.96797943,-107.70390000,NaN
0.97274780,-106.97260000,NaN
0.97751617,-106.61250000,NaN
0.98228455,-106.20690000,NaN
0.98705292,-106.80390000,NaN
0.99182129,-106.75480000,NaN
0.99658966,-107.29280000,NaN
1.00135803,-107.92080000,NaN
1.00612640,-107.96400000,NaN
1.01089478,-107.26360000,NaN
1.01566315,-106.89770000,NaN
1.02043152,-107.13690000,NaN
1.02519989,-106.67150000,NaN
1.02996826,-106.94560000,NaN
1.03473663,-106.75270000,NaN
1.03950500,-106.81820000,NaN
1.04427338,-107.42840000,NaN
1.04904175,-107.32010000,NaN
1.05381012,-107.60660000,NaN
1.05857849,-107.37520000,NaN
1.06334686,-107.22910000,NaN
1.06811523,-107.01980000,NaN
1.07288361,-106.54320000,NaN
1.07765198,-106.73720000,NaN
1.08242035,-106.92760000,NaN
1.08718872,-107.10220000,NaN
1.09195709,-106.71240000,NaN
1.09672546,-106.75960000,NaN
1.10149384,-106.84410000,NaN
1.10626221,-106.63610000,NaN
1.11103058,-106.75410000,NaN
1.11579895,-106.22860000,NaN
1.12056732,-106.39980000,NaN
1.12533569,-107.05290000,NaN
1.13010406,-107.41540000,NaN
1.13487244,-106.39110000,NaN
1.13964081,-106.32270000,NaN
1.14440918,-106.82850000,NaN
1.14917755,-106.80440000,NaN
1.15394592,-107.02630000,NaN
1.15871429,-107.52190000,NaN
1.16348267,-107.10800000,NaN
1.16825104,-106.88720000,NaN
1.17301941,-107.27120000,NaN
1.17778778,-107.02360000,NaN
1.18255615,-106.24120000,NaN
1.18732452,-106.86620000,NaN
1.19209290,-106.70070000,NaN
1.19686127,-105.99970000,NaN
1.20162964,-106.93010000,NaN
1.20639801,-107.21000000,NaN
1.21116638,-106.71490000,NaN
1.21593475,-106.35620000,NaN
1.22070313,-106.83660000,NaN
1.22547150,-106.62920000,NaN
1.23023987,-107.06340000,NaN
1.23500824,-107.00850000,NaN
1.23977661,-106.83580000,NaN
1.24454498,-106.96520000,NaN
1.24931335,-107.23330000,NaN
1.25408173,-106.68220000,NaN
1.25885010,-106.23200000,NaN
1.26361847,-106.63270000,NaN
1.26838684,-106.66530000,NaN
1.27315521,-106.44960000,NaN
1.27792358,-106.69880000,NaN
1.28269196,-107.32020000,NaN
1.28746033,-106.96560000,NaN
1.29222870,-106.94420000,NaN
1.29699707,-106.88740000,NaN
1.30176544,-106.92170000,NaN
1.30653381,-107.19120000,NaN
1.31130219,-107.02530000,NaN
1.31607056,-108.30850000,NaN
1.32083893,-107.64970000,NaN
1.32560730,-107.72440000,NaN
1.33037567,-106.57060000,NaN
1.33514404,-106.98540000,NaN
1.33991241,-107.36880000,NaN
1.34468079,-106.55370000,NaN
1.34944916,-107.00910000,NaN
1.35421753,-106.85820000,NaN
1.35898590,-106.81600000,NaN
1.36375427,-106.97550000,NaN
1.36852264,-106.37860000,NaN
1.37329102,-106.51020000,NaN
1.37805939,-107.32760000,NaN
1.38282776,-107.77070000,NaN
1.38759613,-106.13130000,NaN
1.39236450,-106.38150000,NaN
1.39713287,-107.69030000,NaN
1.40190125,-107.14910000,NaN
1.40666962,-107.53140000,NaN
1.41143799,-107.35120000,NaN
1.41620636,-107.11780000,NaN
1.42097473,-106.84550000,NaN
1.42574310,-106.59470000,NaN
1.43051147,-106.61880000,NaN
1.43527985,-107.44740000,NaN
1.44004822,-106.14830000,NaN
1.44481659,-106.50210000,NaN
1.44958496,-107.42380000,NaN
1.45435333,-107.53130000,NaN
1.45912170,-107.06510000,NaN
1.46389008,-107.36270000,NaN
1.46865845,-107.31030000,NaN
1.47342682,-107.03280000,NaN
1.47819519,-107.37790000,NaN
1.48296356,-107.13040000,NaN
1.48773193,-106.62600000,NaN
1.49250031,-106.69760000,NaN
1.49726868,-107.32510000,NaN
1.50203705,-106.81210000,NaN
1.50680542,-107.16990000,NaN
1.51157379,-107.19380000,NaN
1.51634216,-106.41310000,NaN
1.52111053,-106.69300000,NaN
1.52587891,-106.82860000,NaN
1.53064728,-107.34930000,NaN
1.53541565,-107.70060000,NaN
1.54018402,-107.02250000,NaN
1.54495239,-107.37210000,NaN
1.54972076,-107.22010000,NaN
1.55448914,-106.52300000,NaN
1.55925751,-107.01290000,NaN
1.56402588,-106.88020000,NaN
1.56879425,-106.93600000,NaN
1.57356262,-106.57980000,NaN
1.57833099,-106.95680000,NaN
1.58309937,-107.00930000,NaN
1.58786774,-106.33550000,NaN
1.59263611,-106.52370000,NaN
1.59740448,-106.75010000,NaN
1.60217285,-107.25200000,NaN
1.60694122,-106.60790000,NaN
1.61170959,-106.84880000,NaN
1.61647797,-107.55440000,NaN
1.62124634,-108.04240000,NaN
1.62601471,-107.91890000,NaN
1.63078308,-108.13020000,NaN
1.63555145,-107.19390000,NaN
1.64031982,-106.78510000,NaN
1.64508820,-107.59380000,NaN
1.64985657,-106.53910000,NaN
1.65462494,-106.60910000,NaN
1.65939331,-106.50120000,NaN
1.66416168,-106.87770000,NaN
1.66893005,-106.81030000,NaN
1.67369843,-107.28880000,NaN
1.67846680,-107.14830000,NaN
1.68323517,-106.61700000,NaN
1.68800354,-106.72620000,NaN
1.69277191,-107.30000000,NaN
1.69754028,-106.86320000,NaN
1.70230865,-106.54690000,NaN
1.70707703,-106.71740000,NaN
1.71184540,-106.60950000,NaN
1.71661377,-107.56200000,NaN
1.72138214,-106.76080000,NaN
1.72615051,-106.91640000,NaN
1.73091888,-107.24270000,NaN
1.73568726,-106.85790000,NaN
1.74045563,-107.10820000,NaN
1.74522400,-107.04130000,NaN
1.74999237,-107.03370000,NaN
1.75476074,-106.60160000,NaN
1.75952911,-106.59550000,NaN
1.76429749,-106.67660000,NaN
1.76906586,-106.39910000,NaN
1.77383423,-106.51960000,NaN
1.77860260,-106.77920000,NaN
1.78337097,-107.11210000,NaN
1.78813934,-106.75260000,NaN
1.79290771,-107.41830000,NaN
1.79767609,-107.51560000,NaN
1.80244446,-107.55950000,NaN
1.80721283,-107.52250000,NaN
1.81198120,-107.36400000,NaN
1.81674957,-106.91480000,NaN
1.82151794,-107.11440000,NaN
1.82628632,-107.04380000,NaN
1.83105469,-106.46410000,NaN
1.83582306,-106.94280000,NaN
1.84059143,-107.01890000,NaN
1.84535980,-107.87200000,NaN
1.85012817,-107.05770000,NaN
1.85489655,-107.52770000,NaN
1.85966492,-107.36670000,NaN
1.86443329,-107.19550000,NaN
1.86920166,-107.58720000,NaN
1.87397003,-107.75340000,NaN
1.87873840,-107.15900000,NaN
1.88350677,-107.03980000,NaN
1.88827515,-107.15240000,NaN
1.89304352,-106.06680000,NaN
1.89781189,-106.05530000,NaN
1.90258026,-107.03260000,NaN
1.90734863,-106.58190000,NaN
1.91211700,-106.23240000,NaN
1.91688538,-106.20300000,NaN
1.92165375,-106.98420000,NaN
1.92642212,-107.10540000,NaN
1.93119049,-107.25380000,NaN
1.93595886,-106.47810000,NaN
1.94072723,-107.48760000,NaN
1.94549561,-107.33930000,NaN
1.95026398,-106.22740000,NaN
1.95503235,-106.50460000,NaN
1.95980072,-107.25640000,NaN
1.96456909,-107.11480000,NaN
1.96933746,-106.57910000,NaN
1.97410583,-106.39300000,NaN
1.97887421,-106.59700000,NaN
1.98364258,-107.26450000,NaN
1.98841095,-107.57270000,NaN
1.99317932,-107.63850000,NaN
1.99794769,-107.06860000,NaN
2.00271606,-106.89560000,NaN
2.00748444,-106.66290000,NaN
2.01225281,-106.57220000,NaN
2.01702118,-106.67380000,NaN
2.02178955,-106.80050000,NaN
2.02655792,-107.33750000,NaN
2.03132629,-107.23620000,NaN
2.03609467,-106.61350000,NaN
2.04086304,-106.71310000,NaN
2.04563141,-106.48220000,NaN
2.05039978,-106.47530000,NaN
2.05516815,-106.95340000,NaN
2.05993652,-106.57280000,NaN
2.06470490,-107.04910000,NaN
2.06947327,-107.05050000,NaN
2.07424164,-107.61200000,NaN
2.07901001,-106.47490000,NaN
2.08377838,-106.30220000,NaN
2.08854675,-107.09250000,NaN
2.09331512,-107.45000000,NaN
2.09808350,-106.99800000,NaN
2.10285187,-106.69420000,NaN
2.10762024,-106.41410000,NaN
2.11238861,-106.78110000,NaN
2.11715698,-107.00610000,NaN
2.12192535,-106.88210000,NaN
2.12669373,-106.45980000,NaN
2.13146210,-106.22680000,NaN
2.13623047,-106.10910000,NaN
2.14099884,-105.89100000,NaN
2.14576721,-106.69140000,NaN
2.15053558,-107.30760000,NaN
2.15530396,-107.38580000,NaN
2.16007233,-106.87180000,NaN
2.16484070,-106.53960000,NaN
2.16960907,-107.03440000,NaN
2.17437744,-107.29550000,NaN
2.17914581,-106.62090000,NaN
2.18391418,-106.32360000,NaN
2.18868256,-106.21470000,NaN
2.19345093,-106.03600000,NaN
2.19821930,-106.97190000,NaN
2.20298767,-106.37410000,NaN
2.20775604,-106.33030000,NaN
2.21252441,-106.09070000,NaN
2.21729279,-107.28910000,NaN
2.22206116,-107.27340000,NaN
2.22682953,-106.41250000,NaN
2.23159790,-105.97820000,NaN
2.23636627,-106.08880000,NaN
2.24113464,-106.02140000,NaN
2.24590302,-106.28680000,NaN
2.25067139,-106.68880000,NaN
2.25543976,-106.73020000,NaN
2.26020813,-106.39290000,NaN
2.26497650,-106.95090000,NaN
2.26974487,-106.72090000,NaN
2.27451324,-106.26200000,NaN
2.27928162,-106.26130000,NaN
2.28404999,-106.63070000,NaN
2.28881836,-106.80330000,NaN
2.29358673,-106.69340000,NaN
2.29835510,-106.93990000,NaN
2.30312347,-107.15420000,NaN
2.30789185,-106.35120000,NaN
2.31266022,-106.28240000,NaN
2.31742859,-106.89840000,NaN
2.32219696,-106.48760000,NaN
2.32696533,-106.26840000,NaN
2.33173370,-106.15810000,NaN
2.33650208,-107.14850000,NaN
2.34127045,-106.90140000,NaN
2.34603882,-106.27320000,NaN
2.35080719,-106.52490000,NaN
2.35557556,-105.96410000,NaN
2.36034393,-106.94540000,NaN
2.36511230,-106.63660000,NaN
2.36988068,-106.39260000,NaN
2.37464905,-105.90280000,NaN
2.37941742,-106.43600000,NaN
2.38418579,-106.78250000,NaN
2.38895416,-107.26000000,NaN
2.39372253,-106.84330000,NaN
2.39849091,-106.88430000,NaN
2.40325928,-105.80560000,NaN
2.40802765,-106.57080000,NaN
2.41279602,-105.49490000,NaN
2.41756439,-105.79070000,NaN
2.42233276,-105.83750000,NaN
2.42710114,-106.25810000,NaN
2.43186951,-105.83790000,NaN
2.43663788,-105.99760000,NaN
2.44140625,-106.04520000,NaN
2.44617462,-106.06000000,NaN
2.45094299,-105.82220000,NaN
2.45571136,-105.44890000,NaN
2.46047974,-105.35160000,NaN
2.46524811,-106.16180000,NaN
2.47001648,-105.78000000,NaN
2.47478485,-105.15930000,NaN
2.47955322,-105.38040000,NaN
2.48432159,-105.77930000,NaN
2.48908997,-105.68390000,NaN
2.49385834,-106.00340000,NaN
2.49862671,-105.42530000,NaN
2.50339508,-105.33560000,NaN
2.50816345,-105.14250000,NaN
2.51293182,-104.84670000,NaN
2.51770020,-104.78830000,NaN
